,Topic,Words,Frequency,Timestamp,Name
45,59,"einwanderer, programm, überwachung, einwandererstreit, selbstlosesten",1,2019-10-03,59_trump_trumps_donald_präsident
46,88,"trocknen, wasser, kurzschlüsse, abtrocknen, entfernen",1,2019-10-03,88_wasser_luft_reinigen_feuchtigkeit
47,112,"porzellan, bulldogge, porzellanmuseum, porzellanikon, requisit",1,2019-10-03,112_germanen_hölderlin_tausendundeine_ka...
48,145,"günther, wiedervereinigung, ostdeutschen, seehofer, schleswig",2,2019-10-03,145_spd_scholz_karrenbauer_thüringen
49,147,"talkmasterin, jungbluth, chefermittler, anwalt, strafverteidiger",1,2019-10-03,
50,148,"comedy, mockridge, cleese, trixie, kebekus",2,2019-10-03,148_rtl_fernsehgarten_bauer_orridge
51,152,"marktkapitalisierung, technologiesektor, microsoft, apple, billionen",1,2019-10-03,152_dollar_milliarden_euro_aktien
52,155,"funkel, trainer, friedhelm, bewundere, düsseldorf",1,2019-10-03,155_weidinger_dfb_trainer_listerien
53,161,"olsen, gottfridsson, flensburg, hannover, handball",1,2019-10-03,161_handball_dhb_flensburg_werfer
54,171,"lindner, gottfridsson, watkowiak, rückraumschütze, bundesligaduell",2,2019-10-03,171_bayern_trainer_bundesliga_hoeneß
55,-1,"klusák, frieze, polizeiruf, briefwahl, gemälde",19,2019-10-04,-1_wenn_dann_mehr_über
56,0,"morissette, alanis, lionel, wörter, brechtisches",8,2019-10-04,0_geschwindigkeitsanzeige_geschwindigkei...
57,1,"geschwindigkeitsbereiche, geschwindigkeitsgrenzwerte, geschwindigkeitsklasse, geschwindigkeitsklassen, geschwindigkeitskontrolle",1,2019-10-04,1_h3_morissette_alanis_wörter
58,7,"operation, eingriff, itunes, operateure, verarbeite",1,2019-10-04,7_ferrari_hamilton_mercedes_fahrer
59,9,"rechthienstraße, niederberg, quarterback, nachzupflanzen, baumscheiben",1,2019-10-04,9_feuer_brände_australien_sydney
60,21,"akimenko, saisonbestleistung, iwanjuk, athletenporträts, katarer",1,2019-10-04,21_tennis_slam_djokovic_weltranglisten
61,27,"netflix, oktober, sheldon, comedy, amazon",1,2019-10-04,27_film_netflix_filme_hollywood
62,32,"aeropostal, fluglinie, aerotelegraph, traditionsairline, aéropostale",2,2019-10-04,32_airlines_flugzeug_flugzeuge_aeroteleg...
63,93,"rechtsnationalisten, rechtsnationale, dänemark, salvini, vermeintliche",1,2019-10-04,93_brexit_großbritannien_brüssel_britisc...
64,98,"jiangsu, haargras, zhenjiang, zhejiang, park",1,2019-10-04,98_rosen_pflanzen_blüten_garten
65,105,"täters, tageszeitung, tat, abteilung, polizeiabsperrung",1,2019-10-04,105_jährige_cornelia_staatsanwaltschaft_...
66,111,"stadtverwaltung, melbourne, victoria, australischen, haupteinkaufsviertel",1,2019-10-04,111_lockdown_dezember_deutschland_neuinf...
67,114,"rüsselsheim, masche, feuerbachstraße, ergaunern, suggerierten",1,2019-10-04,114_warburg_lübcke_staatsanwaltschaft_wö...
68,115,"mieter, zr, mietvertrag, klausel, obergrenze",2,2019-10-04,115_mieter_vermieter_miete_mietvertrag
69,128,"schwanitz, kugelstoßerin, leichtathletik, medaillensatz, jamaikanerin",1,2019-10-04,128_instagram_mutter_mode_immer
70,142,"bendrick, ag, klempnermeister, dachdecker, schmidt",1,2019-10-04,142_muschter_000_100_eigenkapital
71,145,"böhmermann, kreisverband, jan, einladung, überweise",1,2019-10-04,145_spd_scholz_karrenbauer_thüringen
72,148,"schlönvoigt, zwillingsgeschwisterpärchen, zwillingsgeschwisterpaar, geburtstagssause, chefarztes",1,2019-10-04,148_rtl_fernsehgarten_bauer_orridge
73,152,"schulden, wirtschaftsleistung, kreditexpansion, china, vorzugsaktien",2,2019-10-04,152_dollar_milliarden_euro_aktien
74,159,"fc, ligue, liverpool, samstag, verfolger",1,2019-10-04,159_liverpool_fc_manchester_champions
75,177,"ibisevic, dilrosun, darida, lukebakio, hauptstadtlklub",1,2019-10-04,177_bundesliga_köln_trainer_fußball
76,-1,"janssen, upstalsboom, adolf, ss, hachenburg",20,2019-10-05,-1_wenn_dann_mehr_über
77,0,"morissette, alanis, lionel, wörter, brechtisches",9,2019-10-05,0_geschwindigkeitsanzeige_geschwindigkei...
78,24,"göschl, eberl, huber, sattelschlepper, bundesstraße",1,2019-10-05,24_schillerstraße_gottesdienste_gottesdi...
79,25,"travis, scott, fremdgehgerüchten, beziehungsbombe, fremdgehgerüchte",1,2019-10-05,25_cannon_rtl_mannheims_travis
80,27,"rambo, film, joker, joaquin, kino",3,2019-10-05,27_film_netflix_filme_hollywood
81,32,"ersatzteil, flugbereitschaft, seehofer, flugzeugpanne, avramopoulos",1,2019-10-05,32_airlines_flugzeug_flugzeuge_aeroteleg...
82,49,"hp, gigabyte, testgerät, touchpad, zentimeter",1,2019-10-05,49_smartphone_apple_iphone_smartphones
83,59,"ukraineaffäre, machtmissbrauch, trump, versagen, trumps",1,2019-10-05,59_trump_trumps_donald_präsident
84,62,"türkei, türkischen, syrien, kurdischen, kurden",1,2019-10-05,62_türkei_erdogan_türkische_türkischen
85,71,"klosterhalfen, kipkemboi, kenianerinnen, leichtathletik, chelimo",1,2019-10-05,71_biathlon_geiger_vierschanzentournee_o...
86,80,"philologenverband, württemberg, anstellung, einstellungszusage, referendariat",1,2019-10-05,80_schulen_schule_lehrer_unterricht
87,103,"beatles, längste, mccartney, band, tonstudios",1,2019-10-05,103_beethoven_musik_beethovens_oper
88,128,"cordalis, daniela, schwanitz, mieze, lucas",2,2019-10-05,128_instagram_mutter_mode_immer
89,138,"psychisch, psychische, erkrankungen, psychischen, depression",2,2019-10-05,
90,145,"röckemann, warburg, landesverband, westfälischen, parteitag",1,2019-10-05,145_spd_scholz_karrenbauer_thüringen
91,155,"foodwatch, wurst, verbraucherorganisation, niederlanden, großküchen",1,2019-10-05,155_weidinger_dfb_trainer_listerien
92,165,"kovac, hoffenheim, offensivformation, league, abwehrzentrum",1,2019-10-05,165_demme_moritz_siebert_league
93,177,"serdar, köln, oczipka, königsblauen, katterbach",1,2019-10-05,177_bundesliga_köln_trainer_fußball
94,-1,"schäfer, scheder, wegner, eintracht, frankfurt",16,2019-10-06,-1_wenn_dann_mehr_über
95,0,"morissette, alanis, lionel, wörter, brechtisches",11,2019-10-06,0_geschwindigkeitsanzeige_geschwindigkei...
96,7,"motogp, weltmeister, preis, quartararo, repsol",1,2019-10-06,7_ferrari_hamilton_mercedes_fahrer
97,39,"donbass, ukraine, selenskyj, ukrainische, kiew",1,2019-10-06,39_lukaschenko_belarus_proteste_tichanow...
98,43,"hacker, angriffe, wahlkampfteam, microsoft, cyber",1,2019-10-06,43_app_android_google_microsoft
99,49,"thinkpad, 4k, roteiche, marlène, baumstammbank",2,2019-10-06,49_smartphone_apple_iphone_smartphones
100,59,"trump, amtsenthebungsverfahren, übersetzungsfehlers, wichtigtuer, kritisiert",1,2019-10-06,59_trump_trumps_donald_präsident
101,89,"heißluftballon, fallschirm, pilot, ballons, zielhöhe",1,2019-10-06,89_lehmann_mälzer_henssler_yelp
102,94,"seehofer, migrationskommissar, ankara, undesinnenminister, avramopoulos",1,2019-10-06,94_ungarn_brüssel_ungarns_ungarische
103,105,"kitzbühel, einliegerwohnung, 25, bruder, pistole",2,2019-10-06,105_jährige_cornelia_staatsanwaltschaft_...
104,112,"pluszeichen, 99, korrekturanmerkung, köpfchen, ergibt",1,2019-10-06,112_germanen_hölderlin_tausendundeine_ka...
105,128,"diana, lohan, miley, mcadams, kylie",4,2019-10-06,128_instagram_mutter_mode_immer
106,131,"daiana, favela, ballettschule, ballett, mädchen",1,2019-10-06,131_daiana_sylvie_ballett_zizi
107,138,"blutdruck, kopfschmerz, kinderärzte, schwitzt, schwitzen",1,2019-10-06,
108,145,"seehofer, brinkhaus, seehofers, schuster, quotenvorgabe",1,2019-10-06,145_spd_scholz_karrenbauer_thüringen
109,152,"wiesn, münchner, festleiter, bierleichen, festleitung",1,2019-10-06,152_dollar_milliarden_euro_aktien
110,156,"gerstl, gerstls, schönberg, 1908, zemlinsky",1,2019-10-06,156_osthaus_gerstl_wiener_gerstls
111,176,"ogier, rennfahrer, rallye, motorsport, weltmeister",1,2019-10-06,176_cook_condor_2019_löwisch
112,177,"sieg, feingeister, zoller, aufgeblüht, gepatzt",1,2019-10-06,177_bundesliga_köln_trainer_fußball
113,-1,"sternberger, arendt, arendts, sternbergers, kitzbühel",23,2019-10-07,-1_wenn_dann_mehr_über
114,0,"morissette, alanis, lionel, wörter, brechtisches",8,2019-10-07,0_geschwindigkeitsanzeige_geschwindigkei...
115,27,"dead, serie, crossover, amazon, originalserie",1,2019-10-07,27_film_netflix_filme_hollywood
116,43,"pischke, drittanbieter, scherer, abkassiermasche, sonderdienste",1,2019-10-07,43_app_android_google_microsoft
117,48,"ninja, mixer, microsoft, gaming, spielestreams",1,2019-10-07,48_xbox_playstation_microsoft_games
118,55,"nordkorea, stockholm, verhandlungstisch, pjöngjang, atomprogramm",1,2019-10-07,55_nordkorea_südkorea_nordkoreanischen_n...
119,62,"türkei, syrischen, nordsyrien, kurden, türkische",2,2019-10-07,62_türkei_erdogan_türkische_türkischen
120,76,"alpen, gletscher, bergführer, mont, bergsteigerrouten",1,2019-10-07,76_lawine_bergrettung_schneemassen_alpen
121,100,"mustang, friedberger, breuberg, mustangs, autofahrer",2,2019-10-07,100_unfall_a3_jährige_krankenhaus
122,101,"baustelle, westkreuz, abstellplatz, frankfurt, eschborn",1,2019-10-07,101_bahn_baustelle_frankfurt_aldred
123,102,"amsterdam, hamburg, airco, flugkapitäne, nordwestflug",1,2019-10-07,102_bahn_frankfurt_straße_ice
124,103,"mtv, music, live, show, gewinnspiels",2,2019-10-07,103_beethoven_musik_beethovens_oper
125,105,"kitzbühel, foodwatch, beatles, keimbelastete, tretrollern",1,2019-10-07,105_jährige_cornelia_staatsanwaltschaft_...
126,121,"kerosinsteuer, wegnimmt, klimaschutz, menschheitsgeschichte, angestoßen",1,2019-10-07,121_klimaschutz_hildebrand_energiewende_...
127,134,"hif, krebsarten, forschung, nobelpreis, nobelversammlung",1,2019-10-07,134_impfstoff_biontech_19_virus
128,142,"2030, niedersachsen, emsland, bentheim, nienburg",1,2019-10-07,142_muschter_000_100_eigenkapital
129,152,"august, bestellungen, maschinenbauerverband, vormonatswert, industriekonjunktur",1,2019-10-07,152_dollar_milliarden_euro_aktien
130,-1,"hitzlsperger, cruises, vfb, gängeviertel, dsw",21,2019-10-08,-1_wenn_dann_mehr_über
131,0,"morissette, alanis, lionel, wörter, brechtisches",8,2019-10-08,0_geschwindigkeitsanzeige_geschwindigkei...
132,3,"fluggastrechte, schlichtungsstelle, forderungstext, berechne, mailprogramm",1,2019-10-08,3_podcast_app_19_umeinen
133,6,"erhardt, göttinger, polizeiwache, heinz, dobermann",1,2019-10-08,6_bryant_gestorben_tod_wallow
134,14,"astron, astro, helium, urknall, kernkraft",1,2019-10-08,14_neutrinos_planeten_kometen_quarks
135,32,"canada, 767, flightglobal, flughöhe, vancouver",1,2019-10-08,32_airlines_flugzeug_flugzeuge_aeroteleg...
136,41,"shooter, bugs, ghost, spiel, spaßkiller",1,2019-10-08,41_roblox_spieler_kasparov_scrabble
137,50,"schadenersatz, potsdamer, botschaft, meinungsfreiheit, notwehrrecht",1,2019-10-08,
138,59,"trump, kurden, präsidenten, mcconnell, trumps",1,2019-10-08,59_trump_trumps_donald_präsident
139,71,"hawaii, ironman, triathlon, triathletinnen, frauen",1,2019-10-08,71_biathlon_geiger_vierschanzentournee_o...
140,82,"vegane, hildmann, kochbuchautoren, snackbar, wittershagen",1,2019-10-08,82_tiere_fleisch_wolf_elefanten
141,88,"bügeleisen, cremereste, schleifklotz, putzschwamm, mikrofasertuch",1,2019-10-08,88_wasser_luft_reinigen_feuchtigkeit
142,89,"elbphilharmonie, lohengrin, cd, musikhochschule, singt",1,2019-10-08,89_lehmann_mälzer_henssler_yelp
143,92,"mäuse, futterbasis, tagaktive, turmfalke, maulwürfe",1,2019-10-08,92_brotkäfer_insekten_nest_wespen
144,100,"diefenbach, limburg, rammte, krachen, lebensmitteltour",1,2019-10-08,100_unfall_a3_jährige_krankenhaus
145,103,"cinemaxx, kinowelt, giovanni, opernproduktionen, alagna",1,2019-10-08,103_beethoven_musik_beethovens_oper
146,105,"geschossen, polizeibekannte, hantiert, einschlägig, bewaffneten",1,2019-10-08,105_jährige_cornelia_staatsanwaltschaft_...
147,117,"gessner, bauhaus, werkhaus, gessners, bauhauses",1,2019-10-08,117_gessner_musterhaus_vodafone_thyssen
148,128,"jannine, thailand, kutchers, kinoformaten, münsterländerin",1,2019-10-08,128_instagram_mutter_mode_immer
149,145,"scheuer, karrenbauer, bundeswehr, süddeutsche, blauhelm",2,2019-10-08,145_spd_scholz_karrenbauer_thüringen
150,152,"bundeswirtschaftsministerium, industrie, commerzbank, auftragsflaute, auftragszahlen",1,2019-10-08,152_dollar_milliarden_euro_aktien
151,-1,"bobic, schwochow, sauna, kuntz, schrumpelige",21,2019-10-09,-1_wenn_dann_mehr_über
152,0,"morissette, alanis, lionel, wörter, brechtisches",8,2019-10-09,0_geschwindigkeitsanzeige_geschwindigkei...
153,15,"abtreibung, diskurs, präjudizienlehre, abtreibungsrechtsprechung, präjudizienbindung",1,2019-10-09,15_politische_politik_politikerin_politi...
154,27,"joker, batman, comic, joaquin, clown",1,2019-10-09,27_film_netflix_filme_hollywood
155,39,"irak, iraker, irakisch, einschüchterung, irakischen",1,2019-10-09,39_lukaschenko_belarus_proteste_tichanow...
156,43,"standardpasswort, hacker, autozentriert, glaciers, hackerattacken",1,2019-10-09,43_app_android_google_microsoft
157,49,"beta, 9x, 10, updates, android",1,2019-10-09,49_smartphone_apple_iphone_smartphones
158,59,"blockierte, trump, amtsenthebungsverfahren, strafanordnung, gesetzlosigkeit",1,2019-10-09,59_trump_trumps_donald_präsident
159,62,"türkei, türkische, kurden, kurdischen, nordsyrien",2,2019-10-09,62_türkei_erdogan_türkische_türkischen
160,73,"kundenzentrierung, bodmeier, optimierung, morys, wiederholbare",1,2019-10-09,73_viele_zeit_menschen_mehr
161,80,"verteidigungsmöglichkeiten, messerstechers, grundkurs, messerattentat, kampfkunst",1,2019-10-09,80_schulen_schule_lehrer_unterricht
162,102,"schaeffler, herzogenaurach, schließtage, abbaupläne, problemphase",1,2019-10-09,102_bahn_frankfurt_straße_ice
163,103,"stripshows, erotikstars, erotikmesse, dildo, sextoys",1,2019-10-09,103_beethoven_musik_beethovens_oper
164,107,"nobelpreis, stockholm, chemie, bolsonaro, enzymforscherin",1,2019-10-09,107_tesla_auto_volkswagen_fahrzeuge
165,114,"combat, sprengstoffanschlägen, volksfront, drohschreiben, bayerische",1,2019-10-09,114_warburg_lübcke_staatsanwaltschaft_wö...
166,115,"vermieter, mieter, aufrechnen, barkaution, klageerhebung",1,2019-10-09,115_mieter_vermieter_miete_mietvertrag
167,156,"matisse, konrád, maori, 1906, purrmann",2,2019-10-09,156_osthaus_gerstl_wiener_gerstls
168,162,"mustafi, osthesse, unai, spitzenclub, klarnamen",1,2019-10-09,162_basaksehir_klub_klubs_trainer
169,174,"identitäre, verfassungsschutz, verfassungsschutzbericht, verwaltungsgerichts, freiheitlich",1,2019-10-09,174_rapper_baron_rap_harich
170,178,"havertz, neulinge, waldschmidt, gnabry, halbzeit",1,2019-10-09,178_borussia_haaland_lucien_erling
171,-1,"ahearn, 7t, synagoge, synagogen, mclaren",18,2019-10-10,-1_wenn_dann_mehr_über
172,0,"morissette, alanis, lionel, wörter, brechtisches",11,2019-10-10,0_geschwindigkeitsanzeige_geschwindigkei...
173,10,"tschernobyl, reaktor, strahlung, unglücksreaktor, chernobyl",1,2019-10-10,10_explosion_brand_feuer_ammoniumnitrat
174,39,"russische, russischen, kasjanow, protschetschenischer, kaukasusrepublik",1,2019-10-10,39_lukaschenko_belarus_proteste_tichanow...
175,43,"facebook, glücksspiel, minderjährige, guardian, alkoholischen",2,2019-10-10,43_app_android_google_microsoft
176,51,"hündin, schnauze, herrchen, sanftmütiger, lieblingsfotos",1,2019-10-10,51_hund_hunde_wölfe_hunden
177,52,"hinterziehen, bochum, bochumer, begehen, umstand",1,2019-10-10,52_mortezai_borschtsch_trigema_ringier
178,54,"justizreformen, klage, regelwerk, gerichtshof, rechtsstaatsverfahren",1,2019-10-10,54_disziplinarkammer_barańska_parchimowi...
179,71,"biles, seitz, starfaktor, absprunggeschwindigkeit, pappaufsteller",1,2019-10-10,71_biathlon_geiger_vierschanzentournee_o...
180,75,"forstwirtschaft, plantagensterben, waldsystemen, klimaschädlich, angepflanzt",1,2019-10-10,75_wald_plettenberg_ibisch_holz
181,88,"heizofen, wasserhähne, gartenschlauch, schornstein, ventil",2,2019-10-10,88_wasser_luft_reinigen_feuchtigkeit
182,114,"synagoge, wiedersdorf, bekennervideo, schuster, seehofer",1,2019-10-10,114_warburg_lübcke_staatsanwaltschaft_wö...
183,128,"schönheitsideal, influencerinnen, frauen, top100, frauentribünen",3,2019-10-10,128_instagram_mutter_mode_immer
184,142,"portfolio, hausinvest, commerz, immobilienfonds, fremdkapital",1,2019-10-10,142_muschter_000_100_eigenkapital
185,144,"homburger, homburgerinnen, rathaussprecher, postareals, zentrenkonzept",1,2019-10-10,144_zeitumstellung_volksbank_bedford_str...
186,147,"isch, rhein, frankfurter, bauherren, abreesche",1,2019-10-10,
187,152,"zählten, celmatix, futavis, batteriespezialisten, kapitalmarkttag",1,2019-10-10,152_dollar_milliarden_euro_aktien
188,178,"gnabry, havertz, argentinien, ilkay, argentinier",1,2019-10-10,178_borussia_haaland_lucien_erling
189,-1,"boateng, nüsken, gehalt, zech, bewerber",17,2019-10-18,-1_wenn_dann_mehr_über
190,0,"morissette, alanis, lionel, wörter, brechtisches",10,2019-10-18,0_geschwindigkeitsanzeige_geschwindigkei...
191,6,"oracle, ellison, unersetzlicher, konzernchefin, unternehmenssprecherin",1,2019-10-18,6_bryant_gestorben_tod_wallow
192,28,"qatar, skyteam, oneworld, flugzeit, allianz",2,2019-10-18,28_lufthansa_airlines_airline_jetlines
193,32,"boeing, 737, ufo, lufthansa, flugeigenschaften",3,2019-10-18,32_airlines_flugzeug_flugzeuge_aeroteleg...
194,34,"basis, delegierter, parteitag, umerzieher, parteitagsregie",1,2019-10-18,34_markus_merkel_spahn_österreich
195,43,"pixel, gesichtsentsperrung, sicherheitsrisiko, ausschalten, google",1,2019-10-18,43_app_android_google_microsoft
196,49,"kamera, huawei, samsung, apple, iphone",1,2019-10-18,49_smartphone_apple_iphone_smartphones
197,59,"kurden, nordsyrien, türkei, türkische, türkischen",3,2019-10-18,59_trump_trumps_donald_präsident
198,61,"helikoptergeld, finanzkrise, regnen, regnet, inflation",1,2019-10-18,61_jefferson_matisse_benedict_saillard
199,73,"scheißdreck, arschlöcher, bosnien, dingsda, schleimscheißer",1,2019-10-18,73_viele_zeit_menschen_mehr
200,93,"nordmazedonien, beitrittsgespräche, westbalkan, tusk, brexit",1,2019-10-18,93_brexit_großbritannien_brüssel_britisc...
201,95,"sahnejoghurt, joghurtdeckel, molkerei, joghurt, schimmelkeime",1,2019-10-18,95_salz_butter_zucker_kochen
202,120,"hauptwirkstoff, giftinformationszentren, brustschmerzen, lungenschädigungen, rheumatische",1,2019-10-18,120_infektionen_neuinfektionen_coronavir...
203,135,"barcelona, madrid, marlaska, spanische, unabhängigkeitsbewegung",1,2019-10-18,135_barcelona_madrid_spanischen_kataloni...
204,145,"bundestagsverwaltung, parteiaufgaben, parteien, fraktionen, verschickt",1,2019-10-18,145_spd_scholz_karrenbauer_thüringen
205,148,"filmförderung, film, filme, dolchstoßlegenden, hessischen",1,2019-10-18,148_rtl_fernsehgarten_bauer_orridge
206,154,"kreditkartenzahlung, mastercard, versicherungssumme, banken, sicherungsschein",1,2019-10-18,
207,166,"nazarov, hochscheidt, nürnberger, asger, sörensen",1,2019-10-18,166_bayern_werder_wolfsburg_bundesliga
208,-1,"csu, frauenquote, parteitag, parteireform, frauen",17,2019-10-19,-1_wenn_dann_mehr_über
209,0,"morissette, alanis, lionel, wörter, brechtisches",9,2019-10-19,0_geschwindigkeitsanzeige_geschwindigkei...
210,4,"workout, workouts, lieblingssong, fitness, choreografie",1,2019-10-19,4_fitness_übungen_workout_workouts
211,7,"prost, mansell, mercedes, kauf, ferrari",1,2019-10-19,7_ferrari_hamilton_mercedes_fahrer
212,13,"nasa, astronautinnen, astronautin, astronauten, raumstation",1,2019-10-19,13_nasa_spacex_astronauten_raumstation
213,27,"cinema, tele, hd, receiver, empfang",1,2019-10-19,27_film_netflix_filme_hollywood
214,32,"austrian, airlines, swiss, airport, netzwerkairlines",1,2019-10-19,32_airlines_flugzeug_flugzeuge_aeroteleg...
215,39,"kataloniens, katalanische, katalonien, guerillakrieg, barbarische",1,2019-10-19,39_lukaschenko_belarus_proteste_tichanow...
216,40,"anwendungsfälle, kontrollmaschine, systemkonform, überwachungsdiktatur, überwachungstechnik",1,2019-10-19,40_5g_telekom_ametsreiter_fritzbox
217,43,"gesichtserkennung, messenger, signal, smartphone, google",2,2019-10-19,43_app_android_google_microsoft
218,59,"clinton, gabbard, guzmán, lópez, gabbards",2,2019-10-19,59_trump_trumps_donald_präsident
219,61,"berlioz, feldzug, florenz, prosodie, tenochtitlan",1,2019-10-19,61_jefferson_matisse_benedict_saillard
220,62,"türkei, kurdische, kurdenmilizen, kurden, türkische",2,2019-10-19,62_türkei_erdogan_türkische_türkischen
221,89,"lombardi, hammer, rhönrad, schwell, laufstegtrainer",1,2019-10-19,89_lehmann_mälzer_henssler_yelp
222,95,"tomatenparfait, mozzarellakugeln, abschmecken, mozzarella, tomate",1,2019-10-19,95_salz_butter_zucker_kochen
223,102,"taunusbahn, brandoberndorf, denfeld, friedrichsdorf, taunusbahnstrecke",1,2019-10-19,102_bahn_frankfurt_straße_ice
224,145,"schmidt, grundwertekommission, gesamtstaatlicher, jugendirrtum, kreuz",1,2019-10-19,145_spd_scholz_karrenbauer_thüringen
225,148,"netflixserie, federick, kinoadaption, rhue, zeitgema",1,2019-10-19,148_rtl_fernsehgarten_bauer_orridge
226,158,"verlage, verlag, verlagspreis, buchmesse, schwaneberger",1,2019-10-19,158_lagerfeld_spahn_roman_coetzee
